F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
781,1997,2012,1373,3513,90,0,1,0,1,A
781,2009,2026,1371,3523,90,0,1,0,1,A
782,1999,2020,1371,3520,90,0,1,0,1,A
784,1998,2019,1368,3521,90,0,1,0,1,A
778,1999,2020,1369,3521,90,0,1,0,1,A
787,2003,2010,1387,3505,90,0,1,0,1,A
784,1997,2019,1366,3522,90,0,1,0,1,A
780,1998,2019,1368,3521,90,0,1,0,1,A
782,1997,2019,1367,3521,90,0,1,0,1,A
766,1997,2019,1366,3522,90,0,1,0,1,A
782,2011,2020,1387,3512,90,0,1,0,1,A
787,1997,2018,1368,3520,90,0,1,0,1,A
783,1998,2019,1368,3521,90,0,1,0,1,A
781,1995,2017,1366,3520,90,0,1,0,1,A
791,2000,2020,1370,3520,90,0,1,0,1,A
780,1995,2016,1370,3518,90,0,1,0,1,A
781,1997,2019,1367,3521,90,0,1,0,1,A
781,1997,2018,1368,3519,90,0,1,0,1,A
783,1977,2012,1341,3529,90,0,1,0,1,A
777,1995,2019,1363,3523,90,0,1,0,1,A
2361,3805,4063,3103,3234,90,0,1,1,1,B
2341,3806,4063,3113,3238,90,0,1,1,1,B
2352,3805,4063,3107,3228,90,0,1,1,1,B
2366,3801,4062,3115,3254,90,0,1,1,1,B
2358,3809,4063,3120,3250,90,0,1,1,1,B
2367,3807,4063,3120,3251,90,0,1,1,1,B
2366,3808,4063,3118,3246,90,0,1,1,1,B
2368,3806,4063,3124,3255,90,0,1,1,1,B
2367,3809,4063,3122,3251,90,0,1,1,1,B
2369,3807,4063,3115,3245,90,0,1,1,1,B
2370,3806,4062,3110,3252,90,0,1,1,1,B
2354,3809,4063,3118,3247,90,0,1,1,1,B
2366,3806,4063,3118,3267,90,0,1,1,1,B
2356,3813,4064,3124,3253,90,0,1,1,1,B
2370,3808,4063,3117,3252,90,0,1,1,1,B
2372,3807,4063,3116,3262,90,0,1,1,1,B
2354,3812,4064,3113,3245,90,0,1,1,1,B
2363,3807,4063,3110,3248,90,0,1,1,1,B
2421,3803,4061,3110,3251,90,0,1,1,1,B
2358,3809,4063,3110,3248,90,0,1,1,1,B
1609,3595,3530,2860,3843,90,270,1,1,1,C
1594,3525,3389,2708,3818,90,270,1,1,1,C
1544,3494,3404,2749,3817,90,270,1,1,1,C
1575,3473,3398,2762,3814,90,270,1,1,1,C
1557,3467,3392,2758,3812,90,270,1,1,1,C
1556,3460,3382,2745,3810,90,270,1,1,1,C
1549,3469,3386,2740,3812,90,270,1,1,1,C
1547,3458,3370,2718,3810,90,270,1,1,1,C
1543,3434,3360,2725,3805,90,270,1,1,1,C
1533,3413,3344,2729,3800,90,270,1,1,1,C
1508,3414,3349,2732,3801,90,270,1,1,1,C
1546,3411,3333,2713,3798,90,270,1,1,1,C
1535,3413,3335,2705,3800,90,270,1,1,1,C
1536,3413,3334,2697,3800,90,270,1,1,1,C
1539,3384,3321,2716,3793,90,270,1,1,1,C
1539,3397,3323,2696,3797,90,270,1,1,1,C
