F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
781,1997,2012,1373,3513,90,0,1,0,1,A
781,2009,2026,1371,3523,90,0,1,0,1,A
782,1999,2020,1371,3520,90,0,1,0,1,A
784,1998,2019,1368,3521,90,0,1,0,1,A
778,1999,2020,1369,3521,90,0,1,0,1,A
787,2003,2010,1387,3505,90,0,1,0,1,A
784,1997,2019,1366,3522,90,0,1,0,1,A
780,1998,2019,1368,3521,90,0,1,0,1,A
782,1997,2019,1367,3521,90,0,1,0,1,A
766,1997,2019,1366,3522,90,0,1,0,1,A
782,2011,2020,1387,3512,90,0,1,0,1,A
787,1997,2018,1368,3520,90,0,1,0,1,A
783,1998,2019,1368,3521,90,0,1,0,1,A
781,1995,2017,1366,3520,90,0,1,0,1,A
791,2000,2020,1370,3520,90,0,1,0,1,A
780,1995,2016,1370,3518,90,0,1,0,1,A
781,1997,2019,1367,3521,90,0,1,0,1,A
781,1997,2018,1368,3519,90,0,1,0,1,A
783,1977,2012,1341,3529,90,0,1,0,1,A
777,1995,2019,1363,3523,90,0,1,0,1,A
