F1,F2,F3,F4,F5,X,Y,LABEL
2952,2182,3755,4059,2414,0,90,B
2924,2166,3748,4059,2391,0,90,B
3003,2219,3766,4060,2422,0,90,B
3038,2239,3774,4061,2442,0,90,B
3026,2238,3771,4060,2414,0,90,B
2976,2227,3757,4059,2393,0,90,B
2927,2200,3745,4058,2392,0,90,B
2947,2193,3752,4059,2414,0,90,B
2976,2212,3759,4059,2425,0,90,B
2946,2197,3751,4059,2408,0,90,B
2936,2205,3747,4058,2388,0,90,B
2994,2216,3764,4060,2426,0,90,B
3018,2219,3770,4061,2417,0,90,B
2972,2187,3761,4060,2427,0,90,B
2966,2233,3753,4058,2420,0,90,B
2937,2181,3750,4059,2395,0,90,B
2937,2196,3749,4058,2389,0,90,B
3003,2224,3766,4060,2402,0,90,B
2987,2226,3761,4059,2396,0,90,B
2946,2197,3751,4059,2390,0,90,B
