F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1609,3595,3530,2860,3843,90,270,1,1,1,C
1594,3525,3389,2708,3818,90,270,1,1,1,C
1544,3494,3404,2749,3817,90,270,1,1,1,C
1575,3473,3398,2762,3814,90,270,1,1,1,C
1557,3467,3392,2758,3812,90,270,1,1,1,C
1556,3460,3382,2745,3810,90,270,1,1,1,C
1549,3469,3386,2740,3812,90,270,1,1,1,C
1547,3458,3370,2718,3810,90,270,1,1,1,C
1543,3434,3360,2725,3805,90,270,1,1,1,C
1533,3413,3344,2729,3800,90,270,1,1,1,C
1508,3414,3349,2732,3801,90,270,1,1,1,C
1546,3411,3333,2713,3798,90,270,1,1,1,C
1535,3413,3335,2705,3800,90,270,1,1,1,C
1536,3413,3334,2697,3800,90,270,1,1,1,C
1539,3384,3321,2716,3793,90,270,1,1,1,C
1539,3397,3323,2696,3797,90,270,1,1,1,C
1595,3387,3319,2697,3795,90,270,1,1,1,C
1529,3396,3314,2678,3773,90,270,1,1,1,C
1529,3407,3288,2629,3769,90,270,1,1,1,C
1516,3396,3296,2649,3738,90,270,1,1,1,C
