F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1149,2450,2484,2417,3117,90,90,1,1,1,D
1132,2462,2484,2417,3110,90,270,1,1,1,D
1139,2458,2477,2418,3094,90,270,1,1,1,D
1131,2468,2491,2417,3117,90,270,1,1,1,D
1138,2453,2481,2418,3106,90,270,1,1,1,D
1139,2455,2482,2419,3107,90,270,1,1,1,D
1134,2462,2450,2405,3046,90,270,1,1,1,D
1162,2458,2477,2418,3094,90,270,1,1,1,D
1143,2454,2496,2427,3135,90,270,1,1,1,D
1135,2455,2481,2416,3106,90,270,1,1,1,D
1137,2452,2481,2416,3109,90,270,1,1,1,D
1134,2451,2482,2414,3122,90,270,1,1,1,D
1130,2453,2476,2415,3100,90,270,1,1,1,D
1139,2467,2481,2419,3113,90,270,1,1,1,D
1138,2453,2480,2424,3092,90,270,1,1,1,D
1139,2446,2490,2422,3135,90,270,1,1,1,D
1133,2463,2472,2414,3087,90,270,1,1,1,D
1144,2451,2474,2416,3093,90,270,1,1,1,D
1143,2452,2494,2420,3137,90,270,1,1,1,D
1104,2449,2481,2416,3112,90,270,1,1,1,D
