F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1171,2502,2453,1598,2731,90,0,1,1,1,E
1170,2505,2454,1595,2736,90,0,1,1,1,E
1175,2514,2440,1551,2727,90,0,1,1,1,E
1184,2503,2446,1581,2734,90,0,1,1,1,E
1172,2502,2445,1578,2733,90,0,1,1,1,E
1174,2504,2453,1594,2730,90,0,1,1,1,E
1168,2504,2453,1594,2734,90,0,1,1,1,E
1175,2517,2444,1549,2731,90,0,1,1,1,E
1167,2506,2445,1567,2736,90,0,1,1,1,E
1149,2501,2435,1552,2734,90,0,1,1,1,E
1167,2517,2439,1533,2734,90,270,1,1,1,E
1160,2506,2439,1548,2667,90,0,1,1,1,E
1167,2491,2432,1564,2651,90,0,1,1,1,E
1166,2476,2368,1460,2629,90,270,1,1,1,E
1136,2456,2334,1424,2536,90,0,1,1,1,E
1135,2441,2325,1423,2513,90,0,1,1,1,E
1131,2510,2335,1364,2512,90,0,1,1,1,E
1109,2442,2317,1411,2522,90,0,1,1,1,E
1135,2444,2326,1425,2512,90,0,1,1,1,E
1136,2444,2317,1409,2510,90,0,1,1,1,E
