F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
660,1600,1378,495,3222,270,270,1,0,1,ENTER
655,1578,1370,503,3216,270,270,1,0,1,ENTER
660,1602,1371,486,3220,270,270,1,0,1,ENTER
657,1600,1378,496,3209,270,270,1,0,1,ENTER
668,1600,1376,493,3209,270,270,1,0,1,ENTER
656,1635,1383,475,3226,270,270,1,0,1,ENTER
659,1587,1384,512,3202,180,270,1,0,1,ENTER
659,1600,1373,490,3221,180,270,1,0,1,ENTER
658,1600,1377,493,3224,180,270,1,0,1,ENTER
657,1599,1374,493,3218,180,270,1,0,1,ENTER
659,1600,1376,493,3222,270,270,1,0,1,ENTER
661,1608,1370,480,3212,180,270,1,0,1,ENTER
647,1583,1369,500,3213,270,270,1,0,1,ENTER
658,1600,1376,493,3205,270,270,1,0,1,ENTER
758,1590,1376,503,3191,270,270,1,0,1,ENTER
658,1600,1377,494,3222,270,270,1,0,1,ENTER
659,1604,1383,499,3201,270,270,1,0,1,ENTER
655,1600,1374,491,3221,270,270,1,0,1,ENTER
656,1597,1374,494,3208,270,270,1,0,1,ENTER
656,1593,1368,491,3219,270,270,1,0,1,ENTER
