F1,F2,F3,F4,F5,X,Y,LABEL
3929,912,3907,4083,2577,90,90,F
3929,919,3907,4083,2603,48,90,F
3930,921,3907,4083,2593,90,90,F
3929,897,3907,4083,2591,90,90,F
3929,900,3907,4083,2584,90,90,F
3929,920,3907,4083,2562,90,90,F
3929,894,3907,4083,2577,90,90,F
3929,912,3907,4083,2576,90,90,F
3929,914,3907,4083,2594,90,90,F
3929,920,3907,4083,2568,90,90,F
3929,890,3907,4083,2560,90,90,F
3929,895,3907,4083,2562,90,90,F
3929,902,3907,4083,2594,90,90,F
3929,898,3907,4083,2574,90,90,F
3929,892,3907,4083,2584,90,90,F
3929,891,3907,4083,2578,90,90,F
3929,893,3907,4083,2579,90,90,F
3929,906,3907,4083,2563,90,90,F
3929,894,3907,4083,2580,90,90,F
3929,914,3907,4083,2559,90,90,F
