F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
824,1892,1534,1925,3505,90,0,1,1,1,G
818,1879,1549,1956,3524,90,0,1,1,1,G
810,1877,1545,1953,3524,90,0,1,1,1,G
810,1879,1547,1960,3530,90,0,1,1,1,G
810,1867,1544,1955,3526,90,0,1,1,1,G
811,1882,1547,1962,3532,90,0,1,1,1,G
810,1873,1546,1961,3531,90,0,1,1,1,G
798,1853,1541,1956,3529,90,0,1,1,1,G
810,1895,1545,1964,3537,90,0,1,1,1,G
812,1890,1542,1964,3539,90,0,1,1,1,G
876,1882,1546,1962,3533,90,0,1,1,1,G
810,1877,1541,1962,3537,90,0,1,1,1,G
810,1860,1539,1958,3533,90,0,1,1,1,G
810,1877,1541,1963,3538,90,0,1,1,1,G
792,1891,1546,1958,3529,90,0,1,1,1,G
808,1872,1538,1958,3535,90,0,1,1,1,G
807,1876,1537,1961,3540,90,0,1,1,1,G
807,1873,1533,1962,3543,90,0,1,1,1,G
809,1873,1535,1961,3540,90,0,1,1,1,G
808,1877,1537,1970,3547,90,0,1,1,1,G
