F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1906,2937,3930,3121,3243,90,270,1,1,1,H
1896,2954,3935,3126,3235,0,270,1,1,1,H
1923,2909,3920,3113,3244,0,270,1,1,1,H
1882,2922,3929,3123,3238,0,270,1,1,1,H
1909,2919,3925,3119,3237,0,270,1,1,1,H
1907,2917,3925,3112,3236,0,270,1,1,1,H
1890,2922,3928,3122,3240,0,270,1,1,1,H
1903,2944,3932,3089,3220,0,270,1,1,1,H
1869,2919,3930,3119,3235,0,270,1,1,1,H
1900,2921,3926,3119,3236,0,270,1,1,1,H
1900,2920,3926,3123,3239,0,270,1,1,1,H
1908,2921,3926,3119,3236,0,270,1,1,1,H
1903,2920,3926,3128,3240,0,270,1,1,1,H
1915,2923,3925,3118,3236,0,270,1,1,1,H
1901,2922,3927,3118,3235,0,270,1,1,1,H
1909,2911,3923,3096,3240,0,270,1,1,1,H
1897,2919,3926,3122,3239,0,270,1,1,1,H
1910,2919,3925,3118,3249,0,270,1,1,1,H
1881,2921,3929,3116,3236,0,270,1,1,1,H
1897,2920,3927,3117,3234,0,270,1,1,1,H
