F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1851,1917,1585,516,3077,90,0,1,1,1,I
1861,1932,1598,517,3067,90,0,1,1,1,I
1846,1936,1589,503,3067,90,0,1,1,1,I
1849,1895,1594,546,3054,90,0,1,1,1,I
1854,1915,1596,529,3062,90,0,1,1,1,I
1854,1931,1592,510,3060,90,0,1,1,1,I
1849,1926,1588,509,3069,90,0,1,1,1,I
1849,1930,1588,506,3064,90,0,1,1,1,I
1855,1930,1588,509,3076,90,0,1,1,1,I
1857,1928,1592,513,3062,90,0,1,1,1,I
1855,1930,1589,509,3064,90,0,1,1,1,I
1858,1923,1593,519,3064,90,0,1,1,1,I
1857,1930,1590,510,3058,90,0,1,1,1,I
1863,1929,1591,519,3066,90,0,1,1,1,I
1857,1927,1603,524,3041,90,0,1,1,1,I
1859,1930,1591,511,3041,90,0,1,1,1,I
1868,1937,1589,503,3039,90,0,1,1,1,I
1824,1927,1569,486,3039,90,0,1,1,1,I
1859,1928,1585,499,3046,90,0,1,1,1,I
1858,1926,1589,498,3041,90,0,1,1,1,I
