F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1445,1503,2914,2815,3254,90,0,1,1,1,K
1440,1496,2905,2820,3244,90,0,1,1,1,K
1454,1502,2884,2810,3230,90,0,1,1,1,K
1456,1504,2889,2782,3242,90,0,1,1,1,K
1420,1490,2941,2783,3273,90,0,1,1,1,K
1379,1466,2974,2771,3287,90,0,1,1,1,K
1374,1571,3224,2795,3373,90,0,1,1,1,K
1336,1481,3105,2777,3337,90,0,1,1,1,K
1351,1481,3076,2781,3336,90,0,1,1,1,K
1355,1477,3058,2761,3327,90,0,1,1,1,K
1350,1478,3072,2730,3313,90,0,1,1,1,K
1321,1467,3100,2734,3318,90,0,1,1,1,K
1318,1473,3120,2732,3326,90,0,1,1,1,K
1291,1471,3163,2735,3361,90,0,1,1,1,K
1301,1472,3149,2735,3334,90,0,1,1,1,K
1309,1473,3136,2733,3330,90,0,1,1,1,K
1318,1476,3126,2722,3331,90,0,1,1,1,K
1307,1472,3138,2735,3332,90,0,1,1,1,K
1314,1473,3127,2727,3316,90,0,1,1,1,K
1311,1468,3121,2732,3311,90,0,1,1,1,K
