F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1095,1381,1393,1955,3590,90,0,1,0,1,L
1095,1370,1386,1972,3608,90,270,1,0,1,L
1097,1369,1385,1982,3617,90,270,1,0,1,L
1097,1367,1385,1980,3615,90,270,1,0,1,L
1098,1371,1390,1977,3611,90,270,1,0,1,L
1099,1374,1386,1965,3602,90,270,1,0,1,L
1097,1362,1383,1983,3619,90,270,1,0,1,L
1097,1365,1383,1978,3615,90,270,1,0,1,L
1097,1366,1382,1973,3611,90,270,1,0,1,L
1096,1368,1382,1961,3602,90,270,1,0,1,L
1095,1372,1386,1964,3602,90,270,1,0,1,L
1095,1368,1382,1964,3604,90,270,1,0,1,L
1066,1365,1377,1965,3608,90,270,1,0,1,L
1094,1365,1375,1953,3599,90,270,1,0,1,L
1137,1369,1373,1928,3577,90,270,1,0,1,L
1091,1354,1375,1981,3622,90,270,1,0,1,L
1099,1367,1370,1934,3585,90,270,1,0,1,L
1087,1368,1367,1930,3582,90,270,1,0,1,L
1089,1362,1374,1952,3599,90,270,1,0,1,L
1046,1368,1370,1924,3577,90,270,1,0,1,L
