F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1217,3908,4082,3207,3947,270,0,1,1,1,M
1214,3908,4082,3210,3947,270,0,1,1,1,M
1222,3909,4082,3207,3947,270,0,1,1,1,M
1219,3909,4082,3212,3947,270,270,1,1,1,M
1224,3909,4082,3210,3947,270,0,1,1,1,M
1212,3908,4082,3204,3947,270,0,1,1,1,M
1214,3908,4082,3207,3947,270,0,1,1,1,M
1224,3909,4082,3207,3947,270,0,1,1,1,M
1220,3909,4082,3207,3947,270,0,1,1,1,M
1221,3909,4082,3209,3947,270,0,1,1,1,M
1219,3909,4082,3202,3947,270,0,1,1,1,M
1221,3909,4082,3204,3947,270,0,1,1,1,M
1223,3909,4082,3188,3946,270,270,1,1,1,M
1214,3908,4082,3199,3947,270,0,1,1,1,M
1221,3909,4082,3201,3947,270,0,1,1,1,M
1307,3909,4082,3196,3947,270,0,1,1,1,M
1219,3908,4082,3199,3947,270,0,1,1,1,M
1225,3909,4082,3206,3947,270,0,1,1,1,M
1224,3909,4082,3200,3947,270,0,1,1,1,M
1220,3909,4082,3204,3947,270,0,1,1,1,M
