F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1335,3050,3995,3049,3489,270,0,1,1,1,N
1331,3036,3993,3052,3496,270,0,1,1,1,N
1329,3034,3993,3051,3494,270,0,1,1,1,N
1332,3053,3996,3046,3490,270,270,1,1,1,N
1328,3026,3992,3050,3501,270,0,1,1,1,N
1301,3036,3995,3040,3501,270,0,1,1,1,N
1312,3020,3992,3049,3493,270,0,1,1,1,N
1328,3036,3993,3047,3494,270,0,1,1,1,N
1325,3036,3993,3054,3478,270,0,1,1,1,N
1337,3026,3991,3047,3494,270,270,1,1,1,N
1322,3033,3993,3038,3526,270,0,1,1,1,N
1292,3025,3994,3045,3497,270,270,1,1,1,N
1320,3031,3993,3041,3492,270,0,1,1,1,N
1319,3034,3993,3047,3491,270,0,1,1,1,N
1376,3028,3990,3046,3491,270,0,1,1,1,N
1305,3029,3993,3040,3506,270,0,1,1,1,N
1313,3009,3990,3048,3498,270,270,1,1,1,N
1320,3028,3993,3041,3492,270,0,1,1,1,N
1321,2981,3985,3037,3496,270,270,1,1,1,N
1309,3032,3994,3044,3490,270,0,1,1,1,N
