F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1110,2817,2467,1828,3634,90,0,1,0,1,O
1089,2817,2447,1814,3629,90,270,1,0,1,O
1066,2816,2421,1774,3628,90,270,1,0,1,O
1064,2852,2385,1697,3634,90,270,1,0,1,O
1057,2814,2354,1661,3629,90,270,1,0,1,O
1052,2813,2336,1624,3630,90,270,1,0,1,O
1042,2810,2312,1588,3630,90,270,1,0,1,O
975,2814,2306,1573,3631,90,270,1,0,1,O
1040,2810,2305,1569,3632,90,270,1,0,1,O
1038,2822,2316,1563,3638,90,270,1,0,1,O
1035,2805,2293,1547,3632,90,270,1,0,1,O
1043,2813,2294,1544,3633,90,270,1,0,1,O
1033,2760,2290,1555,3628,90,270,1,0,1,O
1038,2805,2291,1544,3632,90,270,1,0,1,O
1044,2778,2299,1553,3632,90,270,1,0,1,O
1038,2801,2280,1527,3631,90,270,1,0,1,O
1069,2801,2278,1528,3630,90,270,1,0,1,O
1030,2796,2267,1524,3627,90,270,1,0,1,O
1033,2810,2287,1528,3634,90,270,1,0,1,O
1035,2818,2269,1521,3629,90,270,1,0,1,O
