F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
999,1680,2539,2778,3660,270,0,1,1,1,P
989,1690,2549,2781,3656,270,0,1,1,1,P
993,1686,2545,2775,3652,270,0,1,1,1,P
938,1686,2555,2782,3654,270,0,1,1,1,P
993,1688,2547,2780,3657,270,0,1,1,1,P
992,1693,2553,2773,3644,270,0,1,1,1,P
992,1684,2546,2777,3655,270,0,1,1,1,P
1013,1686,2538,2767,3649,270,0,1,1,1,P
988,1666,2539,2779,3661,270,0,1,1,1,P
989,1646,2536,2777,3662,270,0,1,1,1,P
987,1683,2557,2787,3657,270,0,1,1,1,P
994,1691,2547,2779,3655,270,0,1,1,1,P
991,1681,2544,2774,3653,270,0,1,1,1,P
987,1680,2553,2773,3645,270,0,1,1,1,P
992,1689,2550,2749,3620,270,0,1,1,1,P
990,1681,2541,2787,3669,270,0,1,1,1,P
990,1685,2549,2778,3653,270,0,1,1,1,P
992,1682,2541,2771,3652,270,0,1,1,1,P
990,1685,2540,2775,3657,270,0,1,1,1,P
989,1682,2540,2776,3658,270,0,1,1,1,P
