F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
751,1638,1430,2030,3651,270,0,1,1,1,Q
751,1634,1430,2028,3650,270,0,1,1,1,Q
751,1639,1426,2033,3655,270,0,1,1,1,Q
751,1650,1432,2076,3681,270,0,1,1,1,Q
760,1591,1424,2046,3662,270,0,1,1,1,Q
753,1656,1432,2084,3686,270,0,1,1,1,Q
755,1667,1438,2087,3685,270,0,1,1,1,Q
758,1658,1430,2091,3691,270,0,1,1,1,Q
758,1657,1433,2083,3685,270,0,1,1,1,Q
755,1654,1432,2084,3686,270,0,1,1,1,Q
758,1657,1433,2085,3687,270,0,1,1,1,Q
756,1659,1441,2092,3687,270,0,1,1,1,Q
750,1654,1427,2087,3690,270,0,1,1,1,Q
759,1656,1433,2082,3685,270,0,1,1,1,Q
765,1634,1434,2067,3674,270,0,1,1,1,Q
755,1658,1432,2085,3687,270,0,1,1,1,Q
754,1662,1433,2097,3694,270,0,1,1,1,Q
759,1684,1431,2100,3697,270,0,1,1,1,Q
757,1659,1432,2085,3687,270,0,1,1,1,Q
760,1664,1425,2088,3692,270,0,1,1,1,Q
