F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1470,2577,3890,2441,2837,90,0,1,1,0,R
1476,2569,3887,2446,2845,90,0,1,1,0,R
1472,2575,3889,2441,2847,90,270,1,1,0,R
1470,2591,3894,2427,2845,90,270,1,1,0,R
1462,2576,3891,2433,2849,90,270,1,1,0,R
1462,2576,3891,2424,2847,90,270,1,1,0,R
1457,2572,3890,2421,2854,90,270,1,1,0,R
1453,2575,3892,2421,2849,90,270,1,1,0,R
1456,2576,3892,2430,2859,90,270,1,1,0,R
1456,2576,3892,2411,2849,90,270,1,1,0,R
1446,2576,3893,2417,2851,90,270,1,1,0,R
1453,2558,3887,2400,2858,90,270,1,1,0,R
1438,2575,3894,2397,2849,90,270,1,1,0,R
1437,2574,3894,2391,2848,90,270,1,1,0,R
1431,2577,3895,2388,2848,90,270,1,1,0,R
1446,2577,3893,2379,2847,90,270,1,1,0,R
1430,2581,3896,2378,2861,90,270,1,1,0,R
1419,2575,3896,2383,2853,90,270,1,1,0,R
1423,2575,3896,2374,2853,90,270,1,1,0,R
1417,2570,3895,2374,2853,90,270,1,1,0,R
