F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
867,2049,1484,316,2918,90,270,1,1,1,S
825,1991,1431,306,2873,90,270,1,1,1,S
699,1631,1251,334,2758,90,0,1,1,1,S
683,1531,1191,336,2717,90,270,1,1,1,S
642,1502,1174,337,2711,90,270,1,1,1,S
623,1493,1167,336,2709,90,270,1,1,1,S
626,1488,1158,331,2709,90,270,1,1,1,S
615,1488,1155,329,2711,90,270,1,1,1,S
609,1488,1155,329,2703,90,270,1,1,1,S
609,1482,1151,329,2699,90,270,1,1,1,S
608,1475,1150,331,2698,90,270,1,1,1,S
604,1490,1156,329,2692,90,270,1,1,1,S
621,1476,1155,335,2738,90,270,1,1,1,S
604,1478,1150,330,2718,90,270,1,1,1,S
574,1475,1148,329,2718,90,270,1,1,1,S
614,1485,1145,323,2718,90,270,1,1,1,S
604,1476,1150,331,2719,90,270,1,1,1,S
604,1477,1149,330,2718,90,270,1,1,1,S
601,1476,1149,331,2718,90,270,1,1,1,S
604,1476,1149,331,2716,90,270,1,1,1,S
