F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
2118,3914,4078,3167,3945,90,0,1,1,1,SPACE
2107,3914,4078,3165,3945,90,270,1,1,1,SPACE
2117,3914,4078,3165,3945,90,270,1,1,1,SPACE
2118,3914,4078,3167,3945,90,270,1,1,1,SPACE
2119,3914,4078,3162,3944,90,270,1,1,1,SPACE
2124,3914,4078,3164,3944,90,270,1,1,1,SPACE
2117,3914,4078,3153,3944,90,270,1,1,1,SPACE
2112,3914,4078,3148,3944,90,270,1,1,1,SPACE
2117,3914,4078,3152,3944,90,270,1,1,1,SPACE
2115,3914,4078,3150,3944,90,270,1,1,1,SPACE
2116,3914,4078,3148,3944,90,270,1,1,1,SPACE
2107,3914,4078,3150,3944,90,270,1,1,1,SPACE
2098,3914,4078,3148,3944,90,270,1,1,1,SPACE
2116,3914,4078,3145,3944,90,270,1,1,1,SPACE
2113,3914,4078,3135,3943,90,270,1,1,1,SPACE
2104,3914,4078,3136,3943,90,270,1,1,1,SPACE
2117,3914,4078,3143,3944,90,270,1,1,1,SPACE
2113,3914,4078,3133,3943,90,270,1,1,1,SPACE
2099,3914,4078,3130,3943,90,270,1,1,1,SPACE
2103,3914,4078,3132,3943,90,270,1,1,1,SPACE
