F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
957,1602,1535,2089,3629,0,270,1,1,1,T
955,1587,1533,2073,3616,90,270,1,1,1,T
953,1589,1539,2078,3615,90,270,1,1,1,T
954,1591,1532,2079,3621,90,270,1,1,1,T
950,1597,1558,2068,3594,90,270,1,1,1,T
957,1586,1528,2066,3613,90,270,1,1,1,T
952,1588,1529,2077,3621,90,270,1,1,1,T
951,1580,1524,2077,3624,90,270,1,1,1,T
916,1586,1523,2088,3633,90,270,1,1,1,T
955,1586,1524,2090,3635,90,270,1,1,1,T
951,1594,1536,2101,3636,90,270,1,1,1,T
949,1587,1665,2444,3791,0,270,1,1,1,T
999,1589,1709,2601,3847,90,270,1,1,1,T
1033,1595,1699,2577,3840,90,270,1,1,1,T
1024,1600,1538,2123,3651,0,270,1,1,1,T
951,1599,1538,2120,3650,90,270,1,1,1,T
950,1566,1531,2084,3623,90,270,1,1,1,T
947,1585,1532,2112,3645,90,270,1,1,1,T
947,1578,1527,2106,3643,90,270,1,1,1,T
948,1585,1532,2113,3646,90,270,1,1,1,T
