F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1938,2543,3776,2966,3014,90,0,0,0,1,U
1943,2546,3776,2970,2977,90,270,0,0,1,U
2035,2546,3742,2969,2975,90,270,0,0,1,U
2040,2555,3746,2963,2974,90,270,0,0,1,U
2022,2545,3747,2974,2974,90,270,0,0,1,U
2056,2548,3735,2967,2974,90,270,0,0,1,U
2035,2566,3755,2973,2976,90,270,0,0,1,U
2047,2548,3738,2969,2975,90,270,0,0,1,U
2038,2546,3741,2977,2964,90,270,0,0,1,U
2015,2544,3749,2969,2970,90,270,0,0,1,U
2050,2550,3738,2969,2976,90,270,0,0,1,U
2035,2542,3739,2967,2976,90,270,0,0,1,U
2028,2549,3746,2968,2977,90,270,0,0,1,U
2030,2547,3745,2987,2990,90,270,0,0,1,U
2056,2549,3735,2965,2965,90,270,0,0,1,U
2051,2548,3736,2965,2976,90,270,0,0,1,U
2028,2530,3735,2965,2973,90,270,0,0,1,U
2032,2552,3747,2971,2976,90,270,0,0,1,U
2041,2548,3741,2972,2977,90,270,0,0,1,U
2040,2561,3749,2967,2965,90,270,0,0,1,U
