F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1537,2609,3890,2919,3067,90,0,1,1,1,V
1763,2598,3847,2899,3051,90,0,1,1,1,V
1730,2558,3839,2902,3008,90,0,1,1,1,V
1784,2553,3825,2899,2973,90,270,0,1,1,V
1831,2544,3809,2902,2973,90,270,0,1,1,V
1838,2540,3805,2900,2973,90,270,0,1,1,V
1872,2540,3796,2903,2951,90,270,0,1,1,V
1884,2545,3794,2895,2972,90,270,0,1,1,V
1827,2541,3808,2895,2971,90,270,0,1,1,V
1829,2570,3821,2894,2972,90,270,0,1,1,V
1823,2541,3810,2898,2974,90,270,0,1,1,V
1829,2542,3808,2900,2981,90,270,0,1,1,V
1822,2544,3811,2896,2972,90,270,0,1,1,V
1830,2541,3808,2895,2972,90,270,0,1,1,V
1827,2548,3812,2894,2960,90,270,0,1,1,V
1844,2541,3804,2897,2972,90,270,0,1,1,V
1831,2542,3808,2895,2972,90,0,0,1,1,V
1825,2543,3810,2895,2971,90,270,0,1,1,V
1830,2544,3809,2895,2972,90,270,0,1,1,V
1825,2555,3815,2882,2965,90,270,0,1,1,V
