F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1531,2346,2199,2305,2426,90,0,1,1,1,X
1499,2305,2102,2245,2415,90,270,1,1,1,X
1372,2298,2117,2216,2383,90,270,1,1,1,X
1362,2286,2098,2199,2377,90,270,1,1,1,X
1350,2282,2096,2195,2365,90,270,1,1,1,X
1356,2288,2080,2201,2377,90,270,1,1,1,X
1346,2289,2061,2204,2395,90,270,1,1,1,X
1324,2294,2056,2192,2380,90,270,1,1,1,X
1324,2284,2053,2194,2382,90,270,1,1,1,X
1326,2291,2035,2084,2296,90,270,1,1,1,X
1284,2275,2039,2033,2232,90,270,1,1,1,X
1298,2266,2039,2034,2231,90,270,1,1,1,X
1301,2264,2045,2037,2235,90,270,1,1,1,X
1294,2264,2039,2036,2231,90,270,1,1,1,X
1292,2236,2038,2031,2207,90,270,1,1,1,X
1305,2242,2035,2023,2206,90,270,1,1,1,X
1293,2247,2037,2024,2207,90,270,1,1,1,X
1292,2244,2027,2023,2201,90,270,1,1,1,X
1303,2238,2035,2024,2204,90,270,1,1,1,X
1298,2246,2036,2029,2209,90,270,1,1,1,X
