F1,F2,F3,F4,F5,X,Y,B1,B2,B3,LABEL
1960,2812,2394,1082,3732,90,0,1,0,1,Y
1922,2813,2397,1099,3731,90,0,1,0,1,Y
1918,2807,2397,1087,3732,90,0,1,0,1,Y
1918,2811,2397,1081,3733,90,0,1,0,1,Y
1908,2810,2397,1084,3732,90,0,1,0,1,Y
1917,2810,2396,1082,3732,90,0,1,0,1,Y
1917,2828,2402,1079,3734,90,0,1,0,1,Y
1916,2806,2397,1086,3732,90,0,1,0,1,Y
1914,2811,2396,1081,3732,90,0,1,0,1,Y
1911,2820,2394,1074,3733,90,0,1,0,1,Y
1888,2806,2394,1081,3732,90,0,1,0,1,Y
1905,2810,2408,1096,3733,90,270,1,0,1,Y
1916,2811,2396,1081,3732,90,0,1,0,1,Y
1958,2819,2400,1079,3733,90,0,1,0,1,Y
1914,2806,2395,1083,3732,90,0,1,0,1,Y
1915,2811,2394,1081,3732,90,270,1,0,1,Y
1915,2813,2397,1085,3732,90,270,1,0,1,Y
1919,2813,2399,1083,3733,90,270,1,0,1,Y
1915,2809,2396,1082,3732,90,270,1,0,1,Y
1922,2815,2393,1076,3732,90,270,1,0,1,Y
